Duration (ms),Start date,End date,Start station number,Start station,End station number,End station,Bike #,Member type
257866,7/1/2015 0:00,7/1/2015 0:04,31116,California St & Florida Ave NW,31117,15th & Euclid St  NW,W21516,Registered
2683934,7/1/2015 0:00,7/1/2015 0:45,31247,Jefferson Dr & 14th St SW,31247,Jefferson Dr & 14th St SW,W00476,Casual
2349547,7/1/2015 0:02,7/1/2015 0:41,31247,Jefferson Dr & 14th St SW,31247,Jefferson Dr & 14th St SW,W20384,Casual
826571,7/1/2015 0:02,7/1/2015 0:16,31229,New Hampshire Ave & T St NW,31602,Park Rd & Holmead Pl NW,W00972,Registered
123046,7/1/2015 0:04,7/1/2015 0:06,31610,Eastern Market / 7th & North Carolina Ave SE,31269,3rd St & Pennsylvania Ave SE,W21565,Registered
2176084,7/1/2015 0:05,7/1/2015 0:42,31258,Lincoln Memorial,31208,M St & New Jersey Ave SE,W21688,Casual
2652620,7/1/2015 0:06,7/1/2015 0:50,31222,New York Ave & 15th St NW,31227,13th St & New York Ave NW,W21741,Casual
1045864,7/1/2015 0:08,7/1/2015 0:25,31015,Rosslyn Metro / Wilson Blvd & Ft Myer Dr,31035,N Quincy St & Glebe Rd,W21572,Registered
2481165,7/1/2015 0:08,7/1/2015 0:50,31222,New York Ave & 15th St NW,31227,13th St & New York Ave NW,W00700,Casual
114563,7/1/2015 0:08,7/1/2015 0:10,31610,Eastern Market / 7th & North Carolina Ave SE,31613,Eastern Market Metro / Pennsylvania Ave & 7th St SE,W20468,Registered
1192919,7/1/2015 0:02,7/1/2015 0:22,31245,7th & R St NW / Shaw Library,31630,15th & East Capitol St NE,W21272,Registered
879164,7/1/2015 0:10,7/1/2015 0:25,31268,12th & U St NW,31639,2nd & G St NE,W21240,Registered
218666,7/1/2015 0:11,7/1/2015 0:15,31623,Columbus Circle / Union Station,31615,6th & H St NE,W22105,Registered
1203731,7/1/2015 0:12,7/1/2015 0:32,31228,8th & H St NW,31103,16th & Harvard St NW,W00441,Registered
243332,7/1/2015 0:12,7/1/2015 0:16,31022,Clarendon Metro / Wilson Blvd & N Highland St,31089,Court House Metro / 15th & N Uhle St ,W21438,Registered
889529,7/1/2015 0:12,7/1/2015 0:27,31101,14th & V St NW,31103,16th & Harvard St NW,W21469,Registered
913694,7/1/2015 0:12,7/1/2015 0:28,31247,Jefferson Dr & 14th St SW,31247,Jefferson Dr & 14th St SW,W00278,Casual
848983,7/1/2015 0:13,7/1/2015 0:27,31247,Jefferson Dr & 14th St SW,31247,Jefferson Dr & 14th St SW,W21198,Casual
851865,7/1/2015 0:14,7/1/2015 0:28,31268,12th & U St NW,31213,17th & K St NW,W21139,Casual
3895394,7/1/2015 0:14,7/1/2015 1:19,31114,18th St & Wyoming Ave NW,31216,14th St & New York Ave NW,W01418,Casual
654015,7/1/2015 0:14,7/1/2015 0:25,31203,14th & Rhode Island Ave NW,31218,L'Enfant Plaza / 7th & C St SW,W01305,Registered
358974,7/1/2015 0:15,7/1/2015 0:21,31101,14th & V St NW,31116,California St & Florida Ave NW,W20614,Registered
784658,7/1/2015 0:15,7/1/2015 0:28,31268,12th & U St NW,31213,17th & K St NW,W21711,Casual
398956,7/1/2015 0:15,7/1/2015 0:22,31102,11th & Kenyon St NW,31102,11th & Kenyon St NW,W20520,Registered
906915,7/1/2015 0:15,7/1/2015 0:30,31222,New York Ave & 15th St NW,31307,3000 Connecticut Ave NW / National Zoo,W20727,Registered
153912,7/1/2015 0:16,7/1/2015 0:18,31629,8th & East Capitol St NE,31618,4th & East Capitol St NE,W20200,Registered
3745362,7/1/2015 0:17,7/1/2015 1:19,31114,18th St & Wyoming Ave NW,31216,14th St & New York Ave NW,W00390,Casual
510476,7/1/2015 0:17,7/1/2015 0:25,31006,S Joyce & Army Navy Dr,31013,23rd & Eads St,W22014,Registered
192331,7/1/2015 0:18,7/1/2015 0:21,31204,20th & E St NW,31204,20th & E St NW,W21689,Casual
277696,7/1/2015 0:19,7/1/2015 0:24,31229,New Hampshire Ave & T St NW,31119,14th & Belmont St NW,W20122,Registered
781786,7/1/2015 0:20,7/1/2015 0:33,31600,5th & K St NW,31512,Neal St & Trinidad Ave NE,W00694,Registered
582623,7/1/2015 0:21,7/1/2015 0:30,31312,Wisconsin Ave & O St NW,31214,17th & Corcoran St NW,W00721,Registered
623135,7/1/2015 0:21,7/1/2015 0:31,31627,M St & Delaware Ave NE,31244,4th & E St SW,W20259,Registered
306174,7/1/2015 0:21,7/1/2015 0:26,31103,16th & Harvard St NW,31113,Columbia Rd & Belmont St NW,W22206,Registered
266725,7/1/2015 0:22,7/1/2015 0:27,31016,Clarendon Blvd & Pierce St,31017,Wilson Blvd & N Uhle St,W00130,Registered
384649,7/1/2015 0:23,7/1/2015 0:29,31611,13th & H St NE,31630,15th & East Capitol St NE,W20409,Registered
336438,7/1/2015 0:23,7/1/2015 0:29,31607,14th & D St SE,31618,4th & East Capitol St NE,W20880,Registered
454246,7/1/2015 0:24,7/1/2015 0:31,31255,24th & N St NW,31203,14th & Rhode Island Ave NW,W21874,Registered
125729,7/1/2015 0:26,7/1/2015 0:28,31104,Adams Mill & Columbia Rd NW,31103,16th & Harvard St NW,W20444,Registered
3140646,7/1/2015 0:27,7/1/2015 1:19,31114,18th St & Wyoming Ave NW,31216,14th St & New York Ave NW,W20797,Casual
134411,7/1/2015 0:29,7/1/2015 0:31,31217,USDA / 12th & Independence Ave SW,31217,USDA / 12th & Independence Ave SW,W22236,Casual
1198290,7/1/2015 0:30,7/1/2015 0:50,31708,Anacostia Ave & Benning Rd NE / River Terrace ,31635,Potomac Ave & 8th St SE,W21444,Registered
1042095,7/1/2015 0:31,7/1/2015 0:48,31623,Columbus Circle / Union Station,31607,14th & D St SE,W01368,Registered
185429,7/1/2015 0:31,7/1/2015 0:34,32045,Shady Grove Metro West,32037,King Farm Blvd & Pleasant Dr,W20282,Registered
1007935,7/1/2015 0:33,7/1/2015 0:50,31217,USDA / 12th & Independence Ave SW,31208,M St & New Jersey Ave SE,W21320,Casual
1011108,7/1/2015 0:33,7/1/2015 0:50,31217,USDA / 12th & Independence Ave SW,31208,M St & New Jersey Ave SE,W22236,Casual
405221,7/1/2015 0:35,7/1/2015 0:42,31024,Virginia Square Metro / N Monroe St & 9th St N,31069,Pershing & N George Mason Dr,W01057,Registered
183493,7/1/2015 0:35,7/1/2015 0:39,31266,11th & M St NW,31203,14th & Rhode Island Ave NW,W21899,Registered
622159,7/1/2015 0:39,7/1/2015 0:49,31102,11th & Kenyon St NW,31400,Georgia & New Hampshire Ave NW,W01192,Registered
3065757,7/1/2015 0:42,7/1/2015 1:33,31258,Lincoln Memorial,31634,3rd & Tingey St SE,W00819,Registered
