Duration (ms),Start date,End date,Start station number,Start station,End station number,End station,Bike #,Member type
166050,10/1/2015 0:01,10/1/2015 0:04,31602,Park Rd & Holmead Pl NW,31105,14th & Harvard St NW,W21109,Registered
379172,10/1/2015 0:01,10/1/2015 0:07,31314,34th & Water St NW,31237,25th St & Pennsylvania Ave NW,W20603,Registered
696038,10/1/2015 0:01,10/1/2015 0:13,31214,17th & Corcoran St NW,31214,17th & Corcoran St NW,W01233,Registered
219423,10/1/2015 0:02,10/1/2015 0:06,31104,Adams Mill & Columbia Rd NW,31121,Calvert St & Woodley Pl NW,W00218,Registered
253230,10/1/2015 0:03,10/1/2015 0:07,31102,11th & Kenyon St NW,31102,11th & Kenyon St NW,W21612,Registered
655251,10/1/2015 0:03,10/1/2015 0:14,31242,18th St & Pennsylvania Ave NW,31114,18th St & Wyoming Ave NW,W22093,Registered
309212,10/1/2015 0:06,10/1/2015 0:11,31280,11th & S St NW,31278,18th & R St NW,W00231,Registered
776195,10/1/2015 0:07,10/1/2015 0:20,31226,34th St & Wisconsin Ave NW,31214,17th & Corcoran St NW,W20820,Registered
151604,10/1/2015 0:07,10/1/2015 0:10,31017,Wilson Blvd & N Uhle St,31029,N Veitch  & 20th St N,W00244,Registered
809509,10/1/2015 0:07,10/1/2015 0:21,31301,Ward Circle / American University,31113,Columbia Rd & Belmont St NW,W20352,Registered
842712,10/1/2015 0:08,10/1/2015 0:22,31276,15th & L St NW,31118,3rd & Elm St NW,W21327,Registered
171124,10/1/2015 0:11,10/1/2015 0:13,31213,17th & K St NW,31267,17th St & Massachusetts Ave NW,W20487,Registered
241872,10/1/2015 0:11,10/1/2015 0:15,31203,14th & Rhode Island Ave NW,31101,14th & V St NW,W22183,Registered
294746,10/1/2015 0:11,10/1/2015 0:16,31212,21st & M St NW,31278,18th & R St NW,W20769,Registered
590515,10/1/2015 0:11,10/1/2015 0:21,31278,18th & R St NW,31312,Wisconsin Ave & O St NW,W00231,Registered
1217591,10/1/2015 0:14,10/1/2015 0:34,31620,5th & F St NW,31615,6th & H St NE,W20668,Casual
957676,10/1/2015 0:14,10/1/2015 0:30,31228,8th & H St NW,31103,16th & Harvard St NW,W01031,Registered
1644646,10/1/2015 0:15,10/1/2015 0:42,31258,Lincoln Memorial,31617,Bladensburg Rd & Benning Rd NE,W21001,Registered
580130,10/1/2015 0:15,10/1/2015 0:25,31610,Eastern Market / 7th & North Carolina Ave SE,31256,10th & E St NW,W00379,Registered
222180,10/1/2015 0:15,10/1/2015 0:19,31270,8th & D St NW,31228,8th & H St NW,W20592,Registered
267251,10/1/2015 0:03,10/1/2015 0:08,31306,39th & Calvert St NW / Stoddert,31306,39th & Calvert St NW / Stoddert,W21206,Registered
867784,10/1/2015 0:15,10/1/2015 0:29,31600,5th & K St NW,31605,3rd & D St SE,W20970,Registered
737845,10/1/2015 0:17,10/1/2015 0:29,31104,Adams Mill & Columbia Rd NW,31509,New Jersey Ave & R St NW,W21281,Registered
286638,10/1/2015 0:19,10/1/2015 0:24,31017,Wilson Blvd & N Uhle St,31015,Rosslyn Metro / Wilson Blvd & Ft Myer Dr,W20617,Registered
5628236,10/1/2015 0:19,10/1/2015 1:53,31063,S George Mason Dr & Four Mile Run,31062,S George Mason Dr & 13th St S,W20439,Casual
102044,10/1/2015 0:20,10/1/2015 0:22,31049,Utah St & 11th St N ,31037,Ballston Metro / N Stuart & 9th St N,W00900,Registered
504552,10/1/2015 0:21,10/1/2015 0:30,31277,17th & G St NW,31239,17th & Rhode Island Ave NW,W21239,Casual
526336,10/1/2015 0:21,10/1/2015 0:30,31277,17th & G St NW,31239,17th & Rhode Island Ave NW,W21241,Casual
867396,10/1/2015 0:21,10/1/2015 0:36,31312,Wisconsin Ave & O St NW,31306,39th & Calvert St NW / Stoddert,W00231,Registered
278050,10/1/2015 0:23,10/1/2015 0:27,31638,1st & H St NW,31627,M St & Delaware Ave NE,W21823,Registered
484118,10/1/2015 0:23,10/1/2015 0:31,31042,Market Square / King St & Royal St,31047,Braddock Rd Metro,W22119,Registered
89597,10/1/2015 0:26,10/1/2015 0:28,31106,Calvert & Biltmore St NW,31121,Calvert St & Woodley Pl NW,W21055,Registered
119269,10/1/2015 0:26,10/1/2015 0:28,31001,18th & Eads St.,31013,23rd & Eads St,W20410,Registered
322241,10/1/2015 0:27,10/1/2015 0:33,31232,7th & F St NW / National Portrait Gallery,31223,Convention Center / 7th & M St NW,W20404,Registered
941984,10/1/2015 0:28,10/1/2015 0:44,31100,19th St & Pennsylvania Ave NW,31244,4th & E St SW,W01138,Registered
202600,10/1/2015 0:29,10/1/2015 0:33,31101,14th & V St NW,31116,California St & Florida Ave NW,W01075,Registered
225724,10/1/2015 0:30,10/1/2015 0:34,31048,King St Metro South,31044,King St & Patrick St,W21551,Registered
837323,10/1/2015 0:31,10/1/2015 0:45,31312,Wisconsin Ave & O St NW,31114,18th St & Wyoming Ave NW,W21355,Registered
299280,10/1/2015 0:31,10/1/2015 0:36,31101,14th & V St NW,31203,14th & Rhode Island Ave NW,W21929,Registered
137639,10/1/2015 0:34,10/1/2015 0:37,31013,23rd & Eads St,31001,18th & Eads St.,W00946,Registered
1454151,10/1/2015 0:40,10/1/2015 1:05,31623,Columbus Circle / Union Station,31108,4th & M St SW,W20927,Registered
1751035,10/1/2015 0:41,10/1/2015 1:10,31247,Jefferson Dr & 14th St SW,31258,Lincoln Memorial,W21509,Registered
1741415,10/1/2015 0:41,10/1/2015 1:10,31247,Jefferson Dr & 14th St SW,31258,Lincoln Memorial,W22149,Registered
732696,10/1/2015 0:43,10/1/2015 0:55,31200,Massachusetts Ave & Dupont Circle NW,31636,New Jersey Ave & N St NW/Dunbar HS,W20161,Registered
1055820,10/1/2015 0:43,10/1/2015 1:01,31260,23rd & E St NW ,31006,S Joyce & Army Navy Dr,W21360,Registered
914366,10/1/2015 0:43,10/1/2015 0:58,31268,12th & U St NW,31117,15th & Euclid St  NW,W21657,Registered
369917,10/1/2015 0:45,10/1/2015 0:51,31275,New Hampshire Ave & 24th St NW,31204,20th & E St NW,W01453,Registered
670733,10/1/2015 0:47,10/1/2015 0:58,31637,North Capitol St & G Pl NE,31109,7th & T St NW,W22050,Registered
885795,10/1/2015 0:48,10/1/2015 1:03,31202,14th & R St NW,31625,3rd & G St SE,W00234,Registered
897245,10/1/2015 0:50,10/1/2015 1:05,31121,Calvert St & Woodley Pl NW,31602,Park Rd & Holmead Pl NW,W22153,Registered
329728,10/1/2015 0:52,10/1/2015 0:58,31203,14th & Rhode Island Ave NW,31600,5th & K St NW,W00957,Registered
873248,10/1/2015 0:53,10/1/2015 1:08,31246,M St & Pennsylvania Ave NW,31636,New Jersey Ave & N St NW/Dunbar HS,W20083,Registered
401065,10/1/2015 0:56,10/1/2015 1:03,31020,Wilson Blvd & Franklin Rd,31016,Clarendon Blvd & Pierce St,W20680,Casual
383395,10/1/2015 0:56,10/1/2015 1:03,31020,Wilson Blvd & Franklin Rd,31016,Clarendon Blvd & Pierce St,W01421,Casual
348986,10/1/2015 0:57,10/1/2015 1:03,31020,Wilson Blvd & Franklin Rd,31016,Clarendon Blvd & Pierce St,W00816,Casual
548006,10/1/2015 0:58,10/1/2015 1:07,31625,3rd & G St SE,31622,13th & D St NE,W21296,Registered
1696656,10/1/2015 1:01,10/1/2015 1:29,31258,Lincoln Memorial,31258,Lincoln Memorial,W20724,Registered
335959,10/1/2015 1:06,10/1/2015 1:12,31600,5th & K St NW,31203,14th & Rhode Island Ave NW,W00957,Registered
625410,10/1/2015 1:13,10/1/2015 1:23,31275,New Hampshire Ave & 24th St NW,31202,14th & R St NW,W20619,Registered
257407,10/1/2015 1:15,10/1/2015 1:19,31610,Eastern Market / 7th & North Carolina Ave SE,31626,15th St & Massachusetts Ave SE,W20127,Registered
234347,10/1/2015 1:19,10/1/2015 1:23,31102,11th & Kenyon St NW,31102,11th & Kenyon St NW,W21996,Registered
1739660,10/1/2015 1:22,10/1/2015 1:51,31252,21st St & Pennsylvania Ave NW,31101,14th & V St NW,W20828,Registered
1739590,10/1/2015 1:22,10/1/2015 1:51,31252,21st St & Pennsylvania Ave NW,31101,14th & V St NW,W20888,Registered
366906,10/1/2015 1:33,10/1/2015 1:39,31214,17th & Corcoran St NW,31245,7th & R St NW / Shaw Library,W20820,Registered
867266,10/1/2015 1:35,10/1/2015 1:49,31202,14th & R St NW,31226,34th St & Wisconsin Ave NW,W00498,Registered
515068,10/1/2015 1:36,10/1/2015 1:45,31107,Lamont & Mt Pleasant NW,31201,15th & P St NW,W21766,Registered
367659,10/1/2015 1:38,10/1/2015 1:44,31228,8th & H St NW,31251,12th & L St NW,W20013,Registered
646287,10/1/2015 1:39,10/1/2015 1:50,31602,Park Rd & Holmead Pl NW,31214,17th & Corcoran St NW,W20393,Registered
418273,10/1/2015 1:41,10/1/2015 1:48,31200,Massachusetts Ave & Dupont Circle NW,31312,Wisconsin Ave & O St NW,W00563,Registered
329160,10/1/2015 1:41,10/1/2015 1:47,31200,Massachusetts Ave & Dupont Circle NW,31312,Wisconsin Ave & O St NW,W22015,Registered
147397,10/1/2015 1:44,10/1/2015 1:46,31241,Thomas Circle,31203,14th & Rhode Island Ave NW,W20864,Registered
244917,10/1/2015 1:48,10/1/2015 1:52,31268,12th & U St NW,31116,California St & Florida Ave NW,W21388,Registered
554659,10/1/2015 1:51,10/1/2015 2:00,31200,Massachusetts Ave & Dupont Circle NW,31312,Wisconsin Ave & O St NW,W20382,Casual
155972,10/1/2015 1:59,10/1/2015 2:02,31020,Wilson Blvd & Franklin Rd,31030,Lee Hwy & N Adams St,W00978,Registered
350571,10/1/2015 2:04,10/1/2015 2:10,31037,Ballston Metro / N Stuart & 9th St N,31069,Pershing & N George Mason Dr,W00900,Registered
992073,10/1/2015 2:07,10/1/2015 2:23,31266,11th & M St NW,31400,Georgia & New Hampshire Ave NW,W00495,Registered
552752,10/1/2015 2:24,10/1/2015 2:34,31305,Connecticut Ave & Newark St NW / Cleveland Park,31310,Connecticut & Nebraska Ave NW,W01335,Registered
266381,10/1/2015 2:37,10/1/2015 2:41,31276,15th & L St NW,31203,14th & Rhode Island Ave NW,W21583,Casual
812907,10/1/2015 2:59,10/1/2015 3:13,31241,Thomas Circle,31505,Eckington Pl & Q St NE,W01379,Registered
687443,10/1/2015 3:31,10/1/2015 3:42,31509,New Jersey Ave & R St NW,31272,Washington & Independence Ave SW/HHS,W01135,Registered
2764952,10/1/2015 4:31,10/1/2015 5:17,31105,14th & Harvard St NW,31623,Columbus Circle / Union Station,W00987,Casual
1643747,10/1/2015 4:41,10/1/2015 5:09,31214,17th & Corcoran St NW,31635,Potomac Ave & 8th St SE,W21696,Registered
103971,10/1/2015 4:43,10/1/2015 4:45,31253,19th & K St NW,31233,17th & K St NW / Farragut Square,W00359,Registered
272930,10/1/2015 4:44,10/1/2015 4:48,31200,Massachusetts Ave & Dupont Circle NW,31275,New Hampshire Ave & 24th St NW,W01337,Registered
663201,10/1/2015 4:45,10/1/2015 4:57,31119,14th & Belmont St NW,31507,1st & Washington Hospital Center NW,W22082,Registered
395171,10/1/2015 4:55,10/1/2015 5:02,31602,Park Rd & Holmead Pl NW,31200,Massachusetts Ave & Dupont Circle NW,W20898,Registered
774691,10/1/2015 4:56,10/1/2015 5:09,31401,14th St & Spring Rd NW,31307,3000 Connecticut Ave NW / National Zoo,W22021,Registered
309092,10/1/2015 4:57,10/1/2015 5:02,31003,15th & Crystal Dr,31011,23rd & Crystal Dr,W00176,Registered
757865,10/1/2015 4:57,10/1/2015 5:09,31636,New Jersey Ave & N St NW/Dunbar HS,31606,Potomac & Pennsylvania Ave SE,W20083,Registered
415475,10/1/2015 5:00,10/1/2015 5:07,31052,Potomac Ave & 35th St S,31007,Crystal City Metro / 18th & Bell St,W00332,Registered
1048537,10/1/2015 5:01,10/1/2015 5:19,31209,1st & N St  SE,31625,3rd & G St SE,W00165,Registered
1541098,10/1/2015 5:02,10/1/2015 5:28,31091,S Joyce & 16th St S,31314,34th & Water St NW,W20503,Registered
1026057,10/1/2015 5:02,10/1/2015 5:19,31077,Iwo Jima Memorial/N Meade & 14th St N,31247,Jefferson Dr & 14th St SW,W21144,Registered
298839,10/1/2015 5:03,10/1/2015 5:08,31087,Monroe Ave & Leslie Ave,31047,Braddock Rd Metro,W01150,Registered
281149,10/1/2015 5:06,10/1/2015 5:11,31103,16th & Harvard St NW,31229,New Hampshire Ave & T St NW,W01031,Registered
395216,10/1/2015 5:10,10/1/2015 5:17,31015,Rosslyn Metro / Wilson Blvd & Ft Myer Dr,31314,34th & Water St NW,W21313,Registered
1449215,10/1/2015 5:12,10/1/2015 5:36,31108,4th & M St SW,31257,22nd & I St NW / Foggy Bottom,W00975,Registered
241332,10/1/2015 5:15,10/1/2015 5:19,31618,4th & East Capitol St NE,31625,3rd & G St SE,W21826,Registered
172127,10/1/2015 5:17,10/1/2015 5:20,31059,S Four Mile Run & Walter Reed Dr,31057,S Four Mile Run Dr & S Shirlington Rd,W20682,Registered
618351,10/1/2015 5:18,10/1/2015 5:28,31212,21st & M St NW,31236,37th & O St NW / Georgetown University,W20134,Registered
