Duration (ms),Start date,End date,Start station number,Start station,End station number,End station,Bike number,Account type
844108,4/1/2016 0:00,4/1/2016 0:14,31247,Jefferson Dr & 14th St SW,31623,Columbus Circle / Union Station,W20351,Casual
149995,4/1/2016 0:00,4/1/2016 0:02,31267,17th St & Massachusetts Ave NW,31214,17th & Corcoran St NW,W00443,Registered
847995,4/1/2016 0:00,4/1/2016 0:14,31247,Jefferson Dr & 14th St SW,31623,Columbus Circle / Union Station,W21938,Registered
110056,4/1/2016 0:01,4/1/2016 0:03,31214,17th & Corcoran St NW,31278,18th & R St NW,W01385,Registered
3086461,4/1/2016 0:02,4/1/2016 0:54,31261,21st St & Constitution Ave NW,31249,Jefferson Memorial,W00287,Casual
621329,4/1/2016 0:02,4/1/2016 0:13,31215,Georgetown Harbor / 30th St NW,31234,20th & O St NW / Dupont South,W22179,Registered
797175,4/1/2016 0:02,4/1/2016 0:15,31116,California St & Florida Ave NW,31226,34th St & Wisconsin Ave NW,W00750,Registered
240367,4/1/2016 0:02,4/1/2016 0:06,31121,Calvert St & Woodley Pl NW,31104,Adams Mill & Columbia Rd NW,W20787,Registered
3157181,4/1/2016 0:03,4/1/2016 0:55,31261,21st St & Constitution Ave NW,31249,Jefferson Memorial,W20428,Casual
1450349,4/1/2016 0:04,4/1/2016 0:28,31222,New York Ave & 15th St NW,31108,4th & M St SW,W20026,Registered
259749,4/1/2016 0:04,4/1/2016 0:08,31115,Columbia Rd & Georgia Ave NW,31602,Park Rd & Holmead Pl NW,W00191,Registered
407404,4/1/2016 0:05,4/1/2016 0:11,31114,18th St & Wyoming Ave NW,31267,17th St & Massachusetts Ave NW,W01102,Registered
578062,4/1/2016 0:05,4/1/2016 0:14,31116,California St & Florida Ave NW,31118,3rd & Elm St NW,W20168,Registered
825259,4/1/2016 0:05,4/1/2016 0:19,31600,5th & K St NW,31625,3rd & G St SE,W21142,Registered
1157974,4/1/2016 0:05,4/1/2016 0:24,31116,California St & Florida Ave NW,31232,7th & F St NW / National Portrait Gallery,W22142,Registered
579964,4/1/2016 0:05,4/1/2016 0:15,31114,18th St & Wyoming Ave NW,31241,Thomas Circle,W20677,Registered
1715785,4/1/2016 0:08,4/1/2016 0:37,31115,Columbia Rd & Georgia Ave NW,31620,5th & F St NW,W20841,Registered
660617,4/1/2016 0:08,4/1/2016 0:19,31203,14th & Rhode Island Ave NW,31218,L'Enfant Plaza / 7th & C St SW,W20897,Registered
614609,4/1/2016 0:09,4/1/2016 0:19,31201,15th & P St NW,31228,8th & H St NW,W21362,Registered
321988,4/1/2016 0:09,4/1/2016 0:15,31100,19th St & Pennsylvania Ave NW,31241,Thomas Circle,W21072,Registered
719440,4/1/2016 0:10,4/1/2016 0:22,31230,Metro Center / 12th & G St NW,31280,11th & S St NW,W20662,Registered
575155,4/1/2016 0:10,4/1/2016 0:19,31264,6th St & Indiana Ave NW,31228,8th & H St NW,W21077,Registered
426388,4/1/2016 0:11,4/1/2016 0:18,31002,20th & Crystal Dr,31009,27th & Crystal Dr,W01265,Casual
327306,4/1/2016 0:11,4/1/2016 0:17,31002,20th & Crystal Dr,31009,27th & Crystal Dr,W00771,Casual
309120,4/1/2016 0:11,4/1/2016 0:16,31401,14th St & Spring Rd NW,31602,Park Rd & Holmead Pl NW,W22090,Registered
1308261,4/1/2016 0:12,4/1/2016 0:34,31265,5th St & Massachusetts Ave NW,31122,16th & Irving St NW,W20324,Registered
402991,4/1/2016 0:14,4/1/2016 0:21,31400,Georgia & New Hampshire Ave NW,31122,16th & Irving St NW,W22109,Registered
263460,4/1/2016 0:17,4/1/2016 0:22,31202,14th & R St NW,31267,17th St & Massachusetts Ave NW,W21595,Registered
737323,4/1/2016 0:18,4/1/2016 0:30,31037,Ballston Metro / N Stuart & 9th St N,31074,TJ Cmty Ctr / 2nd St & S Old Glebe Rd,W01169,Registered
664886,4/1/2016 0:19,4/1/2016 0:30,31037,Ballston Metro / N Stuart & 9th St N,31074,TJ Cmty Ctr / 2nd St & S Old Glebe Rd,W20009,Registered
1159148,4/1/2016 0:20,4/1/2016 0:40,31110,20th St & Florida Ave NW,31102,11th & Kenyon St NW,W20674,Casual
360283,4/1/2016 0:20,4/1/2016 0:26,31268,12th & U St NW,31266,11th & M St NW,W01283,Registered
282343,4/1/2016 0:20,4/1/2016 0:25,31107,Lamont & Mt Pleasant NW,31104,Adams Mill & Columbia Rd NW,W20765,Registered
413337,4/1/2016 0:20,4/1/2016 0:27,31623,Columbus Circle / Union Station,31610,Eastern Market / 7th & North Carolina Ave SE,W00711,Registered
122648,4/1/2016 0:21,4/1/2016 0:23,31032,Washington Blvd & 7th St N,31026,Washington Blvd & 10th St N,W20226,Registered
256380,4/1/2016 0:22,4/1/2016 0:27,31610,Eastern Market / 7th & North Carolina Ave SE,31630,15th & East Capitol St NE,W20560,Registered
364588,4/1/2016 0:22,4/1/2016 0:28,31241,Thomas Circle,31255,24th & N St NW,W20677,Registered
563565,4/1/2016 0:22,4/1/2016 0:31,31039,N Quincy St & Wilson Blvd,31027,Key Blvd & N Quinn St,W21928,Registered
658790,4/1/2016 0:23,4/1/2016 0:34,31201,15th & P St NW,31509,New Jersey Ave & R St NW,W20235,Registered
352155,4/1/2016 0:25,4/1/2016 0:31,31222,New York Ave & 15th St NW,31257,22nd & I St NW / Foggy Bottom,W01035,Registered
2059281,4/1/2016 0:25,4/1/2016 0:59,31017,Wilson Blvd & N Uhle St,31613,Eastern Market Metro / Pennsylvania Ave & 7th St SE,W21424,Registered
693906,4/1/2016 0:25,4/1/2016 0:36,31101,14th & V St NW,31400,Georgia & New Hampshire Ave NW,W21203,Registered
644882,4/1/2016 0:28,4/1/2016 0:39,31103,16th & Harvard St NW,31307,3000 Connecticut Ave NW / National Zoo,W20228,Registered
445913,4/1/2016 0:29,4/1/2016 0:36,31214,17th & Corcoran St NW,31109,7th & T St NW,W20031,Registered
1831840,4/1/2016 0:31,4/1/2016 1:01,31257,22nd & I St NW / Foggy Bottom,31607,14th & D St SE,W20323,Registered
290646,4/1/2016 0:31,4/1/2016 0:35,31221,18th & M St NW,31204,20th & E St NW,W20059,Registered
2027702,4/1/2016 0:32,4/1/2016 1:05,31267,17th St & Massachusetts Ave NW,31307,3000 Connecticut Ave NW / National Zoo,W01102,Casual
188832,4/1/2016 0:32,4/1/2016 0:35,31202,14th & R St NW,31278,18th & R St NW,W00091,Registered
481849,4/1/2016 0:32,4/1/2016 0:40,31089,Court House Metro / 15th & N Uhle St ,31040,Fairfax Dr & Kenmore St,W21392,Registered
1526491,4/1/2016 0:33,4/1/2016 0:59,31112,Harvard St & Adams Mill Rd NW,31104,Adams Mill & Columbia Rd NW,W20891,Casual
580306,4/1/2016 0:33,4/1/2016 0:43,31230,Metro Center / 12th & G St NW,31639,2nd & G St NE,W21185,Registered
1540163,4/1/2016 0:34,4/1/2016 1:00,31112,Harvard St & Adams Mill Rd NW,31104,Adams Mill & Columbia Rd NW,W00670,Casual
1070477,4/1/2016 0:37,4/1/2016 0:54,31007,Crystal City Metro / 18th & Bell St,31056,S Troy St & 26th St S,W20679,Registered
641484,4/1/2016 0:38,4/1/2016 0:49,31258,Lincoln Memorial,31249,Jefferson Memorial,W20982,Registered
634805,4/1/2016 0:39,4/1/2016 0:49,31258,Lincoln Memorial,31249,Jefferson Memorial,W20734,Registered
491412,4/1/2016 0:44,4/1/2016 0:52,31610,Eastern Market / 7th & North Carolina Ave SE,31619,Lincoln Park / 13th & East Capitol St NE ,W21491,Registered
486765,4/1/2016 0:45,4/1/2016 0:53,31104,Adams Mill & Columbia Rd NW,31268,12th & U St NW,W20894,Registered
